City ID,City,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Bluff,45.0,84,79,3.0,-46.6,168.33
1,Arlit,88.5,42,75,14.61,18.74,7.39
2,Ushuaia,35.6,94,40,26.4,-54.8,-68.3
3,Dikson,43.16,83,96,16.75,73.51,80.55
4,Marawi,73.0,93,76,5.01,8.0,124.29
5,Barrow,39.2,86,90,26.4,71.29,-156.79
6,Dutse,77.41,76,79,10.16,11.76,9.34
7,Lebu,48.65,76,0,14.36,-37.62,-73.65
8,Vuktyl,54.16,72,46,2.3,63.86,57.31
9,Pierre,90.37,33,1,11.41,44.37,-100.35
10,Punta Arenas,41.0,56,30,18.34,-53.15,-70.92
11,Ostrovnoy,53.53,92,27,6.26,68.05,39.51
12,Punto Fijo,86.77,65,0,21.43,11.7,-70.2
13,New Norfolk,38.41,92,100,3.02,-42.78,147.06
14,Sampit,71.67,97,82,2.68,-2.53,112.95
15,George Town,78.06,94,40,12.17,5.41,100.34
16,Bethel,87.76,55,75,9.17,41.37,-73.41
17,Ribeira Grande,75.2,88,40,4.7,38.52,-28.7
18,Busselton,45.9,99,99,5.14,-33.65,115.33
19,Ahipara,55.92,78,99,9.6,-35.17,173.17
20,Upernavik,43.54,81,85,9.44,72.79,-56.15
21,Fortuna,66.36,72,20,13.87,40.6,-124.16
22,Comodoro Rivadavia,50.0,64,0,8.05,-45.87,-67.5
23,Souillac,69.8,83,40,6.93,-20.52,57.52
24,Leningradskiy,40.98,70,81,4.72,69.38,178.42
25,Bandarbeyla,78.89,79,0,25.59,9.49,50.81
26,Saldanha,50.0,76,0,3.36,-33.01,17.94
27,Lorengau,82.04,72,37,5.41,-2.02,147.27
28,Ereymentau,57.96,66,45,4.07,51.62,73.1
29,Tegul'det,53.08,91,6,3.96,57.31,88.17
30,Howard Springs,60.69,27,27,6.93,-12.5,131.05
31,Rikitea,72.34,78,96,17.54,-23.12,-134.97
32,Mathathane,52.83,68,0,6.02,-22.27,28.75
33,Khatanga,51.71,68,0,4.36,71.97,102.5
34,Jizan,84.2,79,40,9.46,17.33,42.67
35,Cape Town,53.94,76,0,8.05,-33.93,18.42
36,Umeå,60.89,93,52,3.36,63.83,20.26
37,Elizabeth City,93.63,47,1,9.17,36.29,-76.25
38,Kassala,81.12,66,97,12.75,15.45,36.4
39,Pisco,63.79,72,40,8.05,-13.7,-76.22
40,Rio Verde de Mato Grosso,83.7,31,93,4.59,-18.92,-54.84
41,Ofakim,73.99,58,0,1.36,31.31,34.62
42,Kapaa,80.26,74,90,16.11,22.08,-159.32
43,São Paulo de Olivença,81.99,82,24,4.07,-3.38,-68.87
44,Mataura,45.0,84,52,3.0,-46.19,168.86
45,São Filipe,77.74,82,82,7.81,14.9,-24.5
46,Mar del Plata,46.45,75,75,8.05,-38.0,-57.56
47,Lompoc,65.86,68,7,13.87,34.64,-120.46
48,Kincardine,54.75,71,75,13.87,56.07,-3.72
49,Provideniya,48.2,70,90,8.95,64.38,-173.3
50,Brae,55.4,100,100,11.41,60.4,-1.35
51,Erzurum Province,64.4,52,75,14.99,40.0,41.5
52,Bakel,87.19,62,78,15.32,14.9,-12.46
53,Coro,86.34,64,6,18.37,11.4,-69.67
54,Adrar,97.41,10,4,2.91,20.5,-10.07
55,Kavaratti,81.59,79,98,18.07,10.57,72.64
56,Korla,84.0,47,63,5.01,41.76,86.15
57,Lages,51.76,95,99,4.21,-27.82,-50.33
58,Puerto Colombia,87.8,70,40,12.75,10.99,-74.95
59,Hilo,79.84,54,40,8.05,19.73,-155.09
60,Albany,84.33,43,100,8.59,42.6,-73.97
61,Eureka,64.47,82,1,8.05,40.8,-124.16
62,Laguna,91.42,35,3,3.0,38.42,-121.42
63,Kysyl-Syr,49.53,68,100,8.63,63.9,122.76
64,San Buenaventura,82.89,55,100,8.01,27.08,-101.53
65,Mahébourg,69.8,83,40,6.93,-20.41,57.7
66,Thompson,68.0,68,75,6.93,55.74,-97.86
67,Hermanus,48.0,94,3,4.43,-34.42,19.23
68,Berlevåg,53.33,100,75,19.46,70.86,29.09
69,Hithadhoo,82.56,76,94,11.18,-0.6,73.08
70,Puerto Quijarro,84.74,39,93,7.56,-17.78,-57.77
71,Erenhot,72.41,35,56,6.24,43.65,111.98
72,Bambous Virieux,68.94,83,40,6.93,-20.34,57.76
73,Micheweni,76.37,80,0,14.79,-4.97,39.83
74,Ahtopol,74.3,78,0,3.36,42.1,27.95
75,Waingapu,69.76,80,75,9.48,-9.66,120.26
76,Huilong,81.41,94,100,8.79,31.81,121.66
77,Saskylakh,48.29,63,48,3.91,71.92,114.08
78,Bredasdorp,51.8,81,0,3.36,-34.53,20.04
79,Kaitangata,48.99,63,57,4.0,-46.28,169.85
80,Puerto Ayora,71.31,69,20,20.8,-0.74,-90.35
81,Touros,78.8,65,20,9.17,-5.2,-35.46
82,Krutinka,48.43,86,27,8.61,56.01,71.51
83,Ketchikan,61.9,67,40,14.99,55.34,-131.65
84,Cayenne,86.0,70,20,10.29,4.93,-52.33
85,Arraial do Cabo,77.77,65,0,12.75,-22.97,-42.03
86,Castro,65.59,64,77,5.21,-24.79,-50.01
87,Indramayu,74.77,76,84,10.07,-6.33,108.32
88,Clyde River,48.2,81,20,10.29,70.47,-68.59
